Term Code,College Code,Department Code,CRN,Campus Code,Subject Code,Course Number,Section Number,Section Title,Instructor 1 ID,Instructor 1 First Name,Instructor 1 Last Name,Question Number,Question,Mean,Median,Standard Deviation,Department Mean,Department Median,Similar College Mean,Similar College Median,College Mean,College Median,Percent Rank - Department,Percent Rank - College,Responses,Percent #1,Percent #2,Percent #3,Percent #4,Percent #5,ZScore - College,ZScore - College Similar Sections,Course Level,Section Size
201720,EN,EN00,37280,N,DSA,4413,995,Algorithm Analysis,112111442,S,Lakshmivarahan,2,The instructor was well-organized and made adequate preparation for class.,3.6,4,0.69921,4.13356,5,4.24749,5,4.24749,5,19.608,13.565,10,0,10,20,70,0,-0.63062,-0.63062,All,All
201720,EN,EN00,37280,N,DSA,4413,995,Algorithm Analysis,112111442,S,Lakshmivarahan,3,Class time was well used and contributed to my learning of the material.,3.4,3.5,0.69921,3.82818,4,4.05369,4,4.05369,4,19.608,12.303,10,0,10,40,50,0,-0.56485,-0.56485,All,All
201720,EN,EN00,37280,N,DSA,4413,995,Algorithm Analysis,112111442,S,Lakshmivarahan,5,The instructor related course material to professional practice and/or research.,3.7,4,0.82327,4.18807,5,4.28105,5,4.28105,5,15.686,10.095,10,0,10,20,60,10,-0.59136,-0.59136,All,All
201720,EN,EN00,37280,N,DSA,4413,995,Algorithm Analysis,112111442,S,Lakshmivarahan,6,The way in which the course was taught helped me develop analysis and design abilities.,3.4,4,1.07497,3.68197,4,4.01325,4,4.01325,4,21.569,12.303,10,10,10,10,70,0,-0.52257,-0.52257,All,All
201720,EN,EN00,37280,N,DSA,4413,995,Algorithm Analysis,112111442,S,Lakshmivarahan,10,"In general, the instructor taught this course effectively.",3.2,3.5,0.91894,3.96682,4,4.1441,5,4.1441,5,17.647,8.517,10,0,30,20,50,0,-0.84232,-0.84232,All,All
201720,EN,EN00,37284,N,DSA,4413,996,Algorithm Analysis,112111442,S,Lakshmivarahan,2,The instructor was well-organized and made adequate preparation for class.,3.6,4,1.14018,4.13356,5,4.24749,5,4.24749,5,19.608,13.565,5,0,20,20,40,20,-0.63062,-0.63062,All,All
201720,EN,EN00,37284,N,DSA,4413,996,Algorithm Analysis,112111442,S,Lakshmivarahan,3,Class time was well used and contributed to my learning of the material.,4,4,0.70711,3.82818,4,4.05369,4,4.05369,4,39.216,33.123,5,0,0,20,60,20,-0.04639,-0.04639,All,All
201720,EN,EN00,37284,N,DSA,4413,996,Algorithm Analysis,112111442,S,Lakshmivarahan,5,The instructor related course material to professional practice and/or research.,4.2,5,1.09545,4.18807,5,4.28105,5,4.28105,5,37.255,27.129,5,0,0,40,0,60,-0.08249,-0.08249,All,All
201720,EN,EN00,37284,N,DSA,4413,996,Algorithm Analysis,112111442,S,Lakshmivarahan,6,The way in which the course was taught helped me develop analysis and design abilities.,3.8,4,0.83666,3.68197,4,4.01325,4,4.01325,4,35.294,24.606,5,0,0,40,40,20,-0.18172,-0.18172,All,All
201720,EN,EN00,37284,N,DSA,4413,996,Algorithm Analysis,112111442,S,Lakshmivarahan,10,"In general, the instructor taught this course effectively.",3.4,4,1.14018,3.96682,4,4.1441,5,4.1441,5,23.529,11.672,5,0,20,40,20,20,-0.66388,-0.66388,All,All
201720,EN,EN00,35719,N,DSA,5001,995,Data Analytics and Media,112129082,Doyle,Yoon,2,The instructor was well-organized and made adequate preparation for class.,4.5,4.5,0.57735,4.13356,5,4.24749,5,4.24749,5,50.98,52.997,4,0,0,0,50,50,0.24593,0.24593,All,All
201720,EN,EN00,35719,N,DSA,5001,995,Data Analytics and Media,112129082,Doyle,Yoon,3,Class time was well used and contributed to my learning of the material.,4.25,4,0.5,3.82818,4,4.05369,4,4.05369,4,50.98,43.533,4,0,0,0,75,25,0.16963,0.16963,All,All
201720,EN,EN00,35719,N,DSA,5001,995,Data Analytics and Media,112129082,Doyle,Yoon,5,The instructor related course material to professional practice and/or research.,4.25,4.5,0.95743,4.18807,5,4.28105,5,4.28105,5,41.176,29.968,4,0,0,25,25,50,-0.0316,-0.0316,All,All
201720,EN,EN00,35719,N,DSA,5001,995,Data Analytics and Media,112129082,Doyle,Yoon,6,The way in which the course was taught helped me develop analysis and design abilities.,3.5,3.5,1.29099,3.68197,4,4.01325,4,4.01325,4,27.451,15.773,4,0,25,25,25,25,-0.43736,-0.43736,All,All
201720,EN,EN00,35719,N,DSA,5001,995,Data Analytics and Media,112129082,Doyle,Yoon,10,"In general, the instructor taught this course effectively.",4.25,4,0.5,3.96682,4,4.1441,5,4.1441,5,37.255,35.647,4,0,0,0,75,25,0.09448,0.09448,All,All
201720,EN,EN00,35993,N,DSA,5001,996,Data Analytics and Media,112129082,Doyle,Yoon,2,The instructor was well-organized and made adequate preparation for class.,4.5,4.5,0.57735,4.13356,5,4.24749,5,4.24749,5,50.98,52.997,4,0,0,0,50,50,0.24593,0.24593,All,All
201720,EN,EN00,35993,N,DSA,5001,996,Data Analytics and Media,112129082,Doyle,Yoon,3,Class time was well used and contributed to my learning of the material.,4.25,4,0.5,3.82818,4,4.05369,4,4.05369,4,50.98,43.533,4,0,0,0,75,25,0.16963,0.16963,All,All
201720,EN,EN00,35993,N,DSA,5001,996,Data Analytics and Media,112129082,Doyle,Yoon,5,The instructor related course material to professional practice and/or research.,4.33333,5,1.1547,4.18807,5,4.28105,5,4.28105,5,45.098,35.962,3,0,0,33.33333,0,66.66667,0.05321,0.05321,All,All
201720,EN,EN00,35993,N,DSA,5001,996,Data Analytics and Media,112129082,Doyle,Yoon,6,The way in which the course was taught helped me develop analysis and design abilities.,4.5,4.5,0.57735,3.68197,4,4.01325,4,4.01325,4,78.431,64.984,4,0,0,0,50,50,0.41478,0.41478,All,All
201720,EN,EN00,35993,N,DSA,5001,996,Data Analytics and Media,112129082,Doyle,Yoon,10,"In general, the instructor taught this course effectively.",4.25,4,0.5,3.96682,4,4.1441,5,4.1441,5,37.255,35.647,4,0,0,0,75,25,0.09448,0.09448,All,All
